task_id,conversation_id,turn_id,domain,query_length_chars,query_length_words,has_question_mark,has_wh_word,num_capitalized_words,num_numbers,query_text,answerability,question_type,multi_turn_type,conversation_length,num_previous_turns,is_first_turn,elser_lastturn_recall_1,elser_lastturn_recall_3,elser_lastturn_recall_5,elser_lastturn_recall_10,elser_lastturn_ndcg_cut_1,elser_lastturn_ndcg_cut_3,elser_lastturn_ndcg_cut_5,elser_lastturn_ndcg_cut_10,elser_rewrite_recall_1,elser_rewrite_recall_3,elser_rewrite_recall_5,elser_rewrite_recall_10,elser_rewrite_ndcg_cut_1,elser_rewrite_ndcg_cut_3,elser_rewrite_ndcg_cut_5,elser_rewrite_ndcg_cut_10,elser_questions_recall_1,elser_questions_recall_3,elser_questions_recall_5,elser_questions_recall_10,elser_questions_ndcg_cut_1,elser_questions_ndcg_cut_3,elser_questions_ndcg_cut_5,elser_questions_ndcg_cut_10,best_score,best_combo
d5f0e7023ab90fe0240b7fc46cf00c26<::>3,d5f0e7023ab90fe0240b7fc46cf00c26,3,clapnq,44,7,True,False,0,0,Are there any other important river systems?,ANSWERABLE,Factoid,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6a738cc02c5aa0b74319acd0e8a809dd<::>5,6a738cc02c5aa0b74319acd0e8a809dd,5,clapnq,22,5,True,False,0,0,any good idea to this?,PARTIAL,Opinion,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13a398b30067d58d179fa8cbc2592449<::>9,13a398b30067d58d179fa8cbc2592449,9,clapnq,29,7,False,True,1,0,I see. What a terrible war ! ,ANSWERABLE,Non-Question,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
a277cf5022616282aa819ee76c9343de<::>3,a277cf5022616282aa819ee76c9343de,3,clapnq,35,5,True,True,0,0,"What it called ""greater something""?",ANSWERABLE,Factoid,Clarification,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
a277cf5022616282aa819ee76c9343de<::>5,a277cf5022616282aa819ee76c9343de,5,clapnq,53,11,True,False,0,0,"As a result, do you think the country was better off?",ANSWERABLE,Opinion,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
a277cf5022616282aa819ee76c9343de<::>6,a277cf5022616282aa819ee76c9343de,6,clapnq,71,15,False,False,2,0,I mean better off as a result of being occupied by US rather than USSR.,ANSWERABLE,Opinion,Clarification,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
a277cf5022616282aa819ee76c9343de<::>7,a277cf5022616282aa819ee76c9343de,7,clapnq,98,19,False,False,1,2,I think Soviet was very sneaky taking 2 northern islands just by joining the war in the 11th hour!,ANSWERABLE,Non-Question,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
a277cf5022616282aa819ee76c9343de<::>8,a277cf5022616282aa819ee76c9343de,8,clapnq,21,2,False,False,0,0,Roosevelt involvement,ANSWERABLE,Keyword,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
d5b1e735a040853ed361a3dfde1b8ef0<::>1,d5b1e735a040853ed361a3dfde1b8ef0,1,cloud,34,5,True,False,1,0,does IBM offer document databases?,ANSWERABLE,Factoid,N/A,0,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fdee20f7fd677e420742b09989623d68<::>6,fdee20f7fd677e420742b09989623d68,6,cloud,67,14,False,False,1,0,i am having hard time finding web chat whenever I was trying to use,ANSWERABLE,Troubleshooting,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fdee20f7fd677e420742b09989623d68<::>7,fdee20f7fd677e420742b09989623d68,7,cloud,29,4,False,False,0,0,Add user identity information,ANSWERABLE,Keyword,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
be461bfeda2d4826cdb663dcaa7d1ced<::>5,be461bfeda2d4826cdb663dcaa7d1ced,5,cloud,9,2,False,False,0,0,node data,ANSWERABLE,Keyword,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1dcbbeb35d4d25ba1ffb787a9f2080e2<::>1,1dcbbeb35d4d25ba1ffb787a9f2080e2,1,cloud,37,6,True,True,1,0,How do I find specific conversations?,ANSWERABLE,How-To,N/A,0,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ddbbbe7ea13560c5768639207e1ca604<::>3,ddbbbe7ea13560c5768639207e1ca604,3,cloud,11,2,False,False,0,0,data volume,ANSWERABLE,Keyword,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ddbbbe7ea13560c5768639207e1ca604<::>7,ddbbbe7ea13560c5768639207e1ca604,7,cloud,23,4,False,False,0,1,corelation os 3 metrics,ANSWERABLE,Keyword,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
81afaf82a0d9a5fad6eaa196f8d9641c<::>8,81afaf82a0d9a5fad6eaa196f8d9641c,8,cloud,8,1,False,False,0,0,backups.,ANSWERABLE,Keyword,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
34ac6bedd4b35167cc59e289893e206a<::>8,34ac6bedd4b35167cc59e289893e206a,8,cloud,24,3,True,True,0,0,What about installation?,ANSWERABLE,How-To,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
f3a917e029970190be5ee508ba770d7f<::>6,f3a917e029970190be5ee508ba770d7f,6,cloud,20,3,True,True,0,0,What about security?,ANSWERABLE,Summarization,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
f3a917e029970190be5ee508ba770d7f<::>7,f3a917e029970190be5ee508ba770d7f,7,cloud,42,8,False,False,0,0,I'm allowed to use only my firewall rules.,ANSWERABLE,Non-Question,Clarification,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
e1b602e47ded79a35d8df4eefe194e39<::>2,e1b602e47ded79a35d8df4eefe194e39,2,cloud,68,12,True,True,0,0,What are the other skills and what languages are supported for them?,ANSWERABLE,Composite,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4175fcce99c56af0e02be5b8990fc16a<::>6,4175fcce99c56af0e02be5b8990fc16a,6,cloud,11,3,True,False,0,0,Is it free?,ANSWERABLE,Factoid,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4175fcce99c56af0e02be5b8990fc16a<::>7,4175fcce99c56af0e02be5b8990fc16a,7,cloud,4,1,False,False,0,0,Use.,ANSWERABLE,Keyword,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
f5a8ca2f2bc12180940167fb920bb018<::>5,f5a8ca2f2bc12180940167fb920bb018,5,cloud,30,4,True,False,0,0,Are dialogue skills necessary?,ANSWERABLE,Factoid,Clarification,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
f5a8ca2f2bc12180940167fb920bb018<::>6,f5a8ca2f2bc12180940167fb920bb018,6,cloud,44,8,True,True,0,0,What is the difference with the dialog node?,ANSWERABLE,Comparative,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
f5a8ca2f2bc12180940167fb920bb018<::>7,f5a8ca2f2bc12180940167fb920bb018,7,cloud,24,5,True,True,1,0,Which type can I create?,ANSWERABLE,Factoid,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1065ea5ad1ae2b90e6fce67d851a7a66<::>4,1065ea5ad1ae2b90e6fce67d851a7a66,4,cloud,47,8,False,False,1,0,"Excuse me, I meant source code example, rather.",ANSWERABLE,How-To,Clarification,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1065ea5ad1ae2b90e6fce67d851a7a66<::>6,1065ea5ad1ae2b90e6fce67d851a7a66,6,cloud,25,4,False,False,0,0,"Oops, no return result...",ANSWERABLE,Troubleshooting,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
674aa142d92a6b4262de254df0c3f7b2<::>5,674aa142d92a6b4262de254df0c3f7b2,5,cloud,27,5,True,True,0,0,why don't you provide that?,ANSWERABLE,Summarization,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
47b2471404382af6e973013ab1cf96b9<::>3,47b2471404382af6e973013ab1cf96b9,3,cloud,19,4,True,True,0,0,What is an account?,ANSWERABLE,Summarization,Clarification,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
c6c3b02ca32795af64c903dd76700517<::>6,c6c3b02ca32795af64c903dd76700517,6,cloud,85,15,True,True,3,0,What if I want to create encrypted image since Vulnerability Advisor can not scan it?,ANSWERABLE,Explanation,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
c6c3b02ca32795af64c903dd76700517<::>8,c6c3b02ca32795af64c903dd76700517,8,cloud,31,4,False,False,3,0,Container Registry Grant Access,ANSWERABLE,Keyword,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4c86c8740c3d49e06b7aca9d308119fa<::>3,4c86c8740c3d49e06b7aca9d308119fa,3,cloud,61,11,True,False,6,0,Can I use IBM Cloud® Kubernetes Service clusters only in USA?,ANSWERABLE,Factoid,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4c86c8740c3d49e06b7aca9d308119fa<::>4,4c86c8740c3d49e06b7aca9d308119fa,4,cloud,74,12,True,True,4,0,what are some practices for IBM Cloud Kubernetes Service do you recommend?,ANSWERABLE,Opinion,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4c86c8740c3d49e06b7aca9d308119fa<::>8,4c86c8740c3d49e06b7aca9d308119fa,8,cloud,80,15,True,False,2,0,can I get some information about service support in case I run into some issues?,ANSWERABLE,Troubleshooting,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5815bb4a99e2a0d8a986348da4c49083<::>7,5815bb4a99e2a0d8a986348da4c49083,7,cloud,14,2,False,False,1,0,Explain Spark.,PARTIAL,Explanation,Clarification,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
adf9b1f61c73d715809bc7b37ac02724<::>1,adf9b1f61c73d715809bc7b37ac02724,1,cloud,74,12,True,True,0,0,What are the billing plans available and differences between each of them?,ANSWERABLE,Comparative,N/A,0,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
e9dd465e8dd63a80dda8f3ce9cba6848<::>7,e9dd465e8dd63a80dda8f3ce9cba6848,7,fiqa,48,9,True,True,0,0,What is the ideal formula to evaluate a company?,ANSWERABLE,Summarization,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
c5518952b78b171de2d5b9317103ba62<::>3,c5518952b78b171de2d5b9317103ba62,3,fiqa,85,18,True,True,2,0,"if it is free, then I should make a second account for my business. how can I create?",ANSWERABLE,How-To,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
c5518952b78b171de2d5b9317103ba62<::>7,c5518952b78b171de2d5b9317103ba62,7,fiqa,58,11,True,False,0,0,can you let me know advantages of using two bank accounts?,ANSWERABLE,Explanation,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
c5518952b78b171de2d5b9317103ba62<::>8,c5518952b78b171de2d5b9317103ba62,8,fiqa,51,10,False,True,1,0,I am wondering which bank I should start looking at,ANSWERABLE,Non-Question,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
535ebd306304982e4e49cc989ce5b10b<::>4,535ebd306304982e4e49cc989ce5b10b,4,fiqa,70,14,True,True,0,0,"If my friend paid for me with her bank's check, what is a consequence?",ANSWERABLE,Explanation,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
535ebd306304982e4e49cc989ce5b10b<::>9,535ebd306304982e4e49cc989ce5b10b,9,fiqa,55,12,False,False,2,0,"because if I cannot sell my EV later, it is not good...",PARTIAL,Opinion,Clarification,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
f1121a39d8a9e36eaef4c2367bd43532<::>5,f1121a39d8a9e36eaef4c2367bd43532,5,fiqa,38,6,True,True,0,0,How do companies hire their employees?,ANSWERABLE,How-To,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
dc1aaac0b33553d8c897d4150955d803<::>4,dc1aaac0b33553d8c897d4150955d803,4,fiqa,74,16,True,False,4,1,ok. I'll do day trading in an IRA account. Can I start with a 50K deposit?,ANSWERABLE,Factoid,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9c52934a9aea1c3647d4b558d8afdf1c<::>5,9c52934a9aea1c3647d4b558d8afdf1c,5,fiqa,43,11,True,False,1,0,but is it ok if I only can invest a little?,ANSWERABLE,Factoid,Clarification,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9c52934a9aea1c3647d4b558d8afdf1c<::>6,9c52934a9aea1c3647d4b558d8afdf1c,6,fiqa,42,10,True,False,2,0,Am I better off going to work for a FAANG?,PARTIAL,Opinion,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
94d04f2cd47fee9a0aaa13fa3ae1de53<::>2,94d04f2cd47fee9a0aaa13fa3ae1de53,2,fiqa,64,11,True,True,0,0,What are the key factors to consider when purchasing a business?,ANSWERABLE,Summarization,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
94d04f2cd47fee9a0aaa13fa3ae1de53<::>5,94d04f2cd47fee9a0aaa13fa3ae1de53,5,fiqa,15,2,False,False,0,0,Good decisions ,ANSWERABLE,Keyword,Follow-up,0,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
