task_id,oracle_combination,oracle_retriever,oracle_strategy,oracle_score,conversation_id,turn_id,domain,query_length_chars,query_length_words,has_question_mark,has_wh_word,num_capitalized_words,num_numbers,answerability,question_type,multi_turn_type,is_first_turn
91715ec6ec7e9a11925e58e707b6626e<::>2,bm25_lastturn,bm25,lastturn,0.62405052,83,2,govt,47,9,True,False,2,0,ANSWERABLE,Factoid,Follow-up,False
6a738cc02c5aa0b74319acd0e8a809dd<::>1,elser_lastturn,elser,lastturn,0.9674679835,79,1,clapnq,47,8,False,False,0,0,ANSWERABLE,Summarization,N/A,True
5815bb4a99e2a0d8a986348da4c49083<::>4,elser_questions,elser,questions,0.195190025,100,4,cloud,26,5,True,True,1,0,ANSWERABLE,Explanation,Follow-up,False
1c74814752c3f9d4ed0b99c16e1ed192<::>3,bm25_lastturn,bm25,lastturn,0.0,51,3,fiqa,74,15,True,True,1,0,ANSWERABLE,Explanation,Follow-up,False
dc1aaac0b33553d8c897d4150955d803<::>3,bge_rewrite,bge,rewrite,0.3007851801,21,3,fiqa,60,13,False,False,2,0,ANSWERABLE,Summarization,Follow-up,False
694e275f1a01ad0e8ac448ad809f7930<::>1,bm25_lastturn,bm25,lastturn,1.0,34,1,clapnq,60,9,False,True,0,0,ANSWERABLE,Factoid,N/A,True
f1121a39d8a9e36eaef4c2367bd43532<::>3,elser_questions,elser,questions,0.39038005,9,3,fiqa,44,9,True,True,0,0,ANSWERABLE,Opinion,Follow-up,False
6495c82abb6bef2d8efd06020cde3adf<::>1,elser_lastturn,elser,lastturn,0.3868528072,107,1,govt,79,11,True,True,0,0,PARTIAL,Factoid,N/A,True
0208bf26ec357a803445290fa88a2e9e<::>6,elser_rewrite,elser,rewrite,0.6309297536,59,6,clapnq,16,3,False,False,0,0,ANSWERABLE,Explanation,Clarification,False
a277cf5022616282aa819ee76c9343de<::>8,bm25_questions,bm25,questions,0.296081911,108,8,clapnq,21,2,False,False,0,0,ANSWERABLE,Keyword,Follow-up,False
7cb06b3f8068674fce61a11e9777f708<::>6,bge_lastturn,bge,lastturn,0.3391602053,37,6,fiqa,26,5,False,False,0,0,ANSWERABLE,How-To,Follow-up,False
13a398b30067d58d179fa8cbc2592449<::>2,bm25_questions,bm25,questions,0.9674679835,106,2,clapnq,146,27,True,True,4,0,ANSWERABLE,Summarization,Follow-up,False
0ef145e49938dfb9b6eefe781d21dca8<::>4,elser_questions,elser,questions,0.6508205186,48,4,govt,32,5,True,False,0,0,PARTIAL,Factoid,Clarification,False
251e29286cef45d899d7889e94ae25d5<::>4,elser_rewrite,elser,rewrite,0.4776237035,61,4,govt,57,10,True,False,2,0,ANSWERABLE,Composite,Clarification,False
d5f0e7023ab90fe0240b7fc46cf00c26<::>1,elser_lastturn,elser,lastturn,0.8503449055,54,1,clapnq,44,8,False,True,0,0,ANSWERABLE,Summarization,N/A,True
d7b4f863baa92fd08c1db2b1a95170dd<::>8,elser_lastturn,elser,lastturn,1.0,103,8,govt,87,13,True,True,0,0,ANSWERABLE,Summarization,Follow-up,False
72ba19c38518da1fc894fc638a2802f7<::>4,bm25_lastturn,bm25,lastturn,1.0,69,4,govt,30,5,True,False,0,0,ANSWERABLE,Factoid,Follow-up,False
dcc0215a118ac833dfe054350df2afaa<::>1,elser_lastturn,elser,lastturn,1.0,10,1,fiqa,85,16,True,True,1,0,ANSWERABLE,Composite,N/A,True
13a398b30067d58d179fa8cbc2592449<::>4,elser_rewrite,elser,rewrite,0.6713860725,106,4,clapnq,118,21,True,True,1,0,ANSWERABLE,Factoid,Follow-up,False
c6c3b02ca32795af64c903dd76700517<::>2,elser_lastturn,elser,lastturn,0.3156484525,94,2,cloud,68,11,True,True,2,0,ANSWERABLE,Composite,Follow-up,False
33431330abb38298cc79b96b2f4fde2a<::>1,elser_lastturn,elser,lastturn,1.0,46,1,clapnq,60,10,False,True,0,0,ANSWERABLE,Explanation,N/A,True
6a738cc02c5aa0b74319acd0e8a809dd<::>6,bm25_lastturn,bm25,lastturn,0.0,79,6,clapnq,57,10,True,False,0,0,ANSWERABLE,Factoid,Follow-up,False
dd6b6ffd177f2b311abe676261279d2f<::>4,elser_lastturn,elser,lastturn,0.9197207891,1,4,clapnq,30,7,True,True,1,0,ANSWERABLE,Factoid,Follow-up,False
3a07680acfb0f951fc3210a8c1a282c9<::>7,elser_lastturn,elser,lastturn,1.0,31,7,clapnq,53,11,True,True,1,0,ANSWERABLE,Composite,Follow-up,False
0ef145e49938dfb9b6eefe781d21dca8<::>8,elser_rewrite,elser,rewrite,0.469278726,48,8,govt,19,4,True,True,0,0,PARTIAL,Explanation,Follow-up,False
f3a917e029970190be5ee508ba770d7f<::>3,elser_lastturn,elser,lastturn,0.3868528072,50,3,cloud,26,6,True,False,1,0,ANSWERABLE,Explanation,Clarification,False
dc1aaac0b33553d8c897d4150955d803<::>4,bm25_lastturn,bm25,lastturn,0.0,21,4,fiqa,74,16,True,False,4,1,ANSWERABLE,Factoid,Follow-up,False
dc1aaac0b33553d8c897d4150955d803<::>1,bge_lastturn,bge,lastturn,0.469278726,21,1,fiqa,74,10,True,True,1,4,PARTIAL,How-To,N/A,True
e52ab8d5f61ccdfc3712a2608d8c2aba<::>5,bm25_lastturn,bm25,lastturn,0.8854598816,109,5,govt,24,3,False,False,0,0,ANSWERABLE,Factoid,Follow-up,False
62888f39e748c217054ee3af08fb4bdd<::>8,bm25_lastturn,bm25,lastturn,0.765360637,30,8,govt,19,3,False,False,0,0,ANSWERABLE,Keyword,Follow-up,False
adf9b1f61c73d715809bc7b37ac02724<::>4,elser_rewrite,elser,rewrite,0.9674679835,104,4,cloud,74,12,True,False,4,0,ANSWERABLE,Comparative,Clarification,False
35e6be0f2049527ae17cf77169cc4f70<::>3,bm25_lastturn,bm25,lastturn,0.0,36,3,govt,19,4,False,False,1,0,ANSWERABLE,How-To,Clarification,False
941445ba11ba7ba2c92c5184c9d798d6<::>8,bm25_lastturn,bm25,lastturn,0.0,39,8,govt,46,11,True,False,0,1,PARTIAL,Factoid,Follow-up,False
29e3ec96a6e8916a0326ebcdab78abae<::>4,elser_questions,elser,questions,0.6131471928,14,4,clapnq,13,3,True,True,1,0,ANSWERABLE,Summarization,Follow-up,False
13a398b30067d58d179fa8cbc2592449<::>3,bm25_lastturn,bm25,lastturn,0.6843515475,106,3,clapnq,84,15,True,False,2,0,ANSWERABLE,Factoid,Clarification,False
13a398b30067d58d179fa8cbc2592449<::>7,elser_lastturn,elser,lastturn,0.765360637,106,7,clapnq,122,19,False,True,4,0,ANSWERABLE,Factoid,Follow-up,False
81afaf82a0d9a5fad6eaa196f8d9641c<::>6,bge_lastturn,bge,lastturn,0.3868528072,42,6,cloud,49,11,True,True,1,0,ANSWERABLE,Explanation,Follow-up,False
5b9edac124aea30a2256705d27226d7f<::>2,elser_lastturn,elser,lastturn,0.6399453854,90,2,clapnq,46,8,True,True,1,0,PARTIAL,Factoid,Follow-up,False
5815bb4a99e2a0d8a986348da4c49083<::>5,elser_lastturn,elser,lastturn,0.2021073465,100,5,cloud,21,5,True,False,1,0,ANSWERABLE,Factoid,Follow-up,False
47b2471404382af6e973013ab1cf96b9<::>7,elser_rewrite,elser,rewrite,0.3065735964,74,7,cloud,29,6,True,True,0,0,ANSWERABLE,Explanation,Follow-up,False
7cb06b3f8068674fce61a11e9777f708<::>5,elser_lastturn,elser,lastturn,0.6992148199,37,5,fiqa,5,1,True,False,0,0,ANSWERABLE,Keyword,Follow-up,False
2cc753bcef23767c18aedad06c4405c4<::>1,elser_lastturn,elser,lastturn,1.0,92,1,govt,71,10,True,True,1,0,ANSWERABLE,Troubleshooting,N/A,True
3a07680acfb0f951fc3210a8c1a282c9<::>1,elser_lastturn,elser,lastturn,0.4306765581,31,1,clapnq,93,17,True,True,0,0,PARTIAL,Summarization,N/A,True
79f0d0539d9ec0acbf90cb3388b30c17<::>7,bm25_lastturn,bm25,lastturn,0.6366824387,28,7,clapnq,16,2,False,False,0,0,ANSWERABLE,Opinion,Follow-up,False
5b2404d71f9ff7edabddb3b1a8b329e7<::>1,bm25_lastturn,bm25,lastturn,1.0,2,1,govt,49,8,True,True,0,0,ANSWERABLE,Explanation,N/A,True
8a19ee37ca7d97eaddbe2e19ca600556<::>6,elser_lastturn,elser,lastturn,0.6131471928,68,6,govt,35,6,True,True,3,0,ANSWERABLE,Summarization,Follow-up,False
2cc753bcef23767c18aedad06c4405c4<::>4,bm25_lastturn,bm25,lastturn,0.765360637,92,4,govt,19,3,False,False,0,0,ANSWERABLE,Keyword,Follow-up,False
4da5a7f42f3b2dc4d875dcfa2fcdefef<::>1,bm25_lastturn,bm25,lastturn,0.0,101,1,fiqa,55,6,True,False,1,0,PARTIAL,Factoid,N/A,True
c6c3b02ca32795af64c903dd76700517<::>3,bm25_lastturn,bm25,lastturn,0.8318724637,94,3,cloud,51,7,False,False,2,1,ANSWERABLE,Non-Question,Follow-up,False
d7b4f863baa92fd08c1db2b1a95170dd<::>3,bm25_rewrite,bm25,rewrite,0.6131471928,103,3,govt,23,4,True,True,0,0,ANSWERABLE,Explanation,Follow-up,False
adf9b1f61c73d715809bc7b37ac02724<::>1,bm25_lastturn,bm25,lastturn,0.0,104,1,cloud,74,12,True,True,0,0,ANSWERABLE,Comparative,N/A,True
adf9b1f61c73d715809bc7b37ac02724<::>12,bm25_lastturn,bm25,lastturn,1.0,104,12,cloud,135,21,False,False,4,0,ANSWERABLE,Non-Question,Clarification,False
4175fcce99c56af0e02be5b8990fc16a<::>6,bm25_lastturn,bm25,lastturn,0.0,63,6,cloud,11,3,True,False,0,0,ANSWERABLE,Factoid,Follow-up,False
9c52934a9aea1c3647d4b558d8afdf1c<::>9,bge_rewrite,bge,rewrite,0.2139862647,23,9,fiqa,43,9,True,False,0,0,ANSWERABLE,Comparative,Clarification,False
c6c3b02ca32795af64c903dd76700517<::>1,bm25_lastturn,bm25,lastturn,1.0,94,1,cloud,50,6,True,False,2,0,ANSWERABLE,Factoid,N/A,True
62888f39e748c217054ee3af08fb4bdd<::>6,elser_rewrite,elser,rewrite,0.9197207891,30,6,govt,20,3,True,True,0,0,ANSWERABLE,Summarization,Follow-up,False
fc3e765d7ffc28ffc7ee7ea38fd3c73a<::>5,elser_lastturn,elser,lastturn,0.3868528072,102,5,govt,51,8,True,True,0,0,ANSWERABLE,Factoid,Follow-up,False
6a738cc02c5aa0b74319acd0e8a809dd<::>5,bm25_lastturn,bm25,lastturn,0.0,79,5,clapnq,22,5,True,False,0,0,PARTIAL,Opinion,Follow-up,False
dd6b6ffd177f2b311abe676261279d2f<::>8,elser_lastturn,elser,lastturn,0.6131471928,1,8,clapnq,27,5,True,True,1,0,ANSWERABLE,Explanation,Follow-up,False
535ebd306304982e4e49cc989ce5b10b<::>1,bge_lastturn,bge,lastturn,1.0,6,1,fiqa,39,8,True,True,0,0,ANSWERABLE,How-To,N/A,True
1c0e5e78f1a16ea2eb2165b6aa31dc61<::>8,bm25_lastturn,bm25,lastturn,0.0,40,8,clapnq,37,8,True,True,2,0,PARTIAL,Factoid,Follow-up,False
aea2634b0e5f1c2444550d31c41adc94<::>8,elser_lastturn,elser,lastturn,1.0,84,8,clapnq,28,3,False,False,0,0,ANSWERABLE,Explanation,Follow-up,False
747a810abfd6da4a9c37cdb74feec95e<::>1,elser_lastturn,elser,lastturn,0.469278726,71,1,cloud,58,10,True,True,1,0,ANSWERABLE,How-To,N/A,True
b2805ee4c478194c234e2384ffb0a6bf<::>7,bm25_questions,bm25,questions,0.6131471928,16,7,clapnq,30,7,False,False,0,0,ANSWERABLE,Factoid,Follow-up,False
e9dd465e8dd63a80dda8f3ce9cba6848<::>5,bm25_lastturn,bm25,lastturn,0.2640681226,4,5,fiqa,13,3,True,True,1,0,ANSWERABLE,Explanation,Follow-up,False
5503c6e98c54d4901332d0f1c6030bd9<::>1,bm25_lastturn,bm25,lastturn,0.7227265726,18,1,govt,71,9,True,True,1,0,ANSWERABLE,Summarization,N/A,True
dd82f0f978316e73618cf0addd369cd8<::>6,elser_lastturn,elser,lastturn,0.765360637,32,6,clapnq,69,11,True,False,1,0,ANSWERABLE,Factoid,Follow-up,False
a277cf5022616282aa819ee76c9343de<::>4,bm25_lastturn,bm25,lastturn,0.703918089,108,4,clapnq,55,8,True,True,2,0,ANSWERABLE,Explanation,Follow-up,False
fdee20f7fd677e420742b09989623d68<::>1,bge_lastturn,bge,lastturn,0.765360637,12,1,cloud,51,11,True,False,0,0,ANSWERABLE,Factoid,N/A,True
5c13daa9432149f6243aa1115629cd1a<::>2,elser_rewrite,elser,rewrite,0.9674679835,29,2,clapnq,38,8,True,True,0,0,ANSWERABLE,Explanation,Follow-up,False
941445ba11ba7ba2c92c5184c9d798d6<::>7,bm25_lastturn,bm25,lastturn,0.530721274,39,7,govt,63,12,True,True,2,0,ANSWERABLE,Explanation,Follow-up,False
b2805ee4c478194c234e2384ffb0a6bf<::>3,bm25_questions,bm25,questions,0.3868528072,16,3,clapnq,51,9,True,True,0,0,ANSWERABLE,Summarization,Follow-up,False
20c2cbd18c16c12c9c2bbead6aef1a21<::>4,bm25_lastturn,bm25,lastturn,1.0,87,4,cloud,40,7,True,True,1,0,ANSWERABLE,How-To,Follow-up,False
f1121a39d8a9e36eaef4c2367bd43532<::>5,bge_lastturn,bge,lastturn,0.2021073465,9,5,fiqa,38,6,True,True,0,0,ANSWERABLE,How-To,Follow-up,False
e52ab8d5f61ccdfc3712a2608d8c2aba<::>10,bm25_lastturn,bm25,lastturn,0.6131471928,109,10,govt,29,7,False,False,0,0,ANSWERABLE,Non-Question,Clarification,False
c1e53df98a28f19448f4af244304b89a<::>3,bge_questions,bge,questions,0.8503449055,47,3,clapnq,51,10,False,True,0,0,ANSWERABLE,Summarization,Follow-up,False
fc3e765d7ffc28ffc7ee7ea38fd3c73a<::>7,bm25_lastturn,bm25,lastturn,0.0,102,7,govt,14,1,False,False,0,0,ANSWERABLE,Keyword,Follow-up,False
5c13daa9432149f6243aa1115629cd1a<::>1,elser_lastturn,elser,lastturn,1.0,29,1,clapnq,55,12,False,True,0,0,ANSWERABLE,Composite,N/A,True
62a5aee8a497bee6fc467df13bf23cfc<::>7,bge_rewrite,bge,rewrite,0.8772153153,3,7,govt,10,1,False,False,0,0,ANSWERABLE,Summarization,Follow-up,False
258193fc88e0e73322e288aa03719260<::>3,bm25_rewrite,bm25,rewrite,0.469278726,19,3,fiqa,86,17,False,True,1,0,ANSWERABLE,Opinion,Follow-up,False
694e275f1a01ad0e8ac448ad809f7930<::>7,elser_rewrite,elser,rewrite,1.0,34,7,clapnq,64,13,True,False,0,0,ANSWERABLE,Summarization,Clarification,False
3f5fa378239f7475baac89fa40288aaa<::>1,elser_lastturn,elser,lastturn,1.0,13,1,clapnq,43,8,False,True,0,0,ANSWERABLE,Explanation,N/A,True
a6eab3f851684c4ba01ae141ce590342<::>2,bm25_lastturn,bm25,lastturn,0.6309297536,22,2,fiqa,28,6,True,False,1,1,PARTIAL,Factoid,Follow-up,False
f3a917e029970190be5ee508ba770d7f<::>7,bm25_lastturn,bm25,lastturn,0.0,50,7,cloud,42,8,False,False,0,0,ANSWERABLE,Non-Question,Clarification,False
62a5aee8a497bee6fc467df13bf23cfc<::>2,elser_rewrite,elser,rewrite,0.9197207891,3,2,govt,19,5,True,False,0,0,ANSWERABLE,Factoid,Follow-up,False
1c74814752c3f9d4ed0b99c16e1ed192<::>4,elser_rewrite,elser,rewrite,0.1681275363,51,4,fiqa,10,1,False,False,0,0,ANSWERABLE,Keyword,Follow-up,False
2b34f5e7861ca9b1b3eab65ad6d6b4b0<::>4,elser_lastturn,elser,lastturn,0.765360637,80,4,fiqa,35,6,True,False,1,0,ANSWERABLE,Factoid,Follow-up,False
dd82f0f978316e73618cf0addd369cd8<::>9,bm25_lastturn,bm25,lastturn,0.0,32,9,clapnq,129,25,False,False,1,0,ANSWERABLE,Non-Question,Follow-up,False
9c52934a9aea1c3647d4b558d8afdf1c<::>2,elser_lastturn,elser,lastturn,1.0,23,2,fiqa,43,9,True,True,0,0,ANSWERABLE,Explanation,Follow-up,False
13a398b30067d58d179fa8cbc2592449<::>1,bm25_lastturn,bm25,lastturn,1.0,106,1,clapnq,46,9,True,True,0,0,ANSWERABLE,Factoid,N/A,True
2cc753bcef23767c18aedad06c4405c4<::>9,elser_lastturn,elser,lastturn,1.0,92,9,govt,107,24,True,False,3,0,ANSWERABLE,Composite,Follow-up,False
ddbbbe7ea13560c5768639207e1ca604<::>1,bm25_lastturn,bm25,lastturn,1.0,38,1,cloud,55,12,True,True,2,1,ANSWERABLE,Factoid,N/A,True
766728e82e315ca65d97b6b162faea0c<::>3,bm25_questions,bm25,questions,1.0,86,3,govt,17,4,False,False,1,0,ANSWERABLE,Factoid,Clarification,False
6af5334fbd010b919d7fa174823abd12<::>8,bm25_lastturn,bm25,lastturn,0.0,53,8,fiqa,11,2,False,False,0,0,ANSWERABLE,Keyword,Follow-up,False
f05ba9633e1b377f9c4d64afd3da3c45<::>8,bm25_lastturn,bm25,lastturn,0.1815417925,56,8,fiqa,28,5,True,True,0,0,ANSWERABLE,Explanation,Follow-up,False
e0f8a53d3ab93e7900633fc8fa40631e<::>4,bge_questions,bge,questions,0.1510196182,91,4,fiqa,21,3,True,False,0,0,ANSWERABLE,Factoid,Follow-up,False
3a07680acfb0f951fc3210a8c1a282c9<::>4,elser_lastturn,elser,lastturn,0.8687949225,31,4,clapnq,60,11,True,True,1,0,ANSWERABLE,Factoid,Follow-up,False
ddbbbe7ea13560c5768639207e1ca604<::>3,bm25_lastturn,bm25,lastturn,0.0,38,3,cloud,11,2,False,False,0,0,ANSWERABLE,Keyword,Follow-up,False
a6eab3f851684c4ba01ae141ce590342<::>1,elser_lastturn,elser,lastturn,0.9558295932,22,1,fiqa,40,6,False,False,0,1,ANSWERABLE,Keyword,N/A,True
694e275f1a01ad0e8ac448ad809f7930<::>3,elser_rewrite,elser,rewrite,0.2640681226,34,3,clapnq,201,34,True,True,1,0,ANSWERABLE,Comparative,Follow-up,False
6528deeee4180c1b2b770a2929482e82<::>4,elser_rewrite,elser,rewrite,0.6131471928,110,4,clapnq,69,11,False,False,0,0,ANSWERABLE,Opinion,Follow-up,False
258193fc88e0e73322e288aa03719260<::>1,elser_lastturn,elser,lastturn,1.0,19,1,fiqa,68,10,True,False,0,0,ANSWERABLE,Factoid,N/A,True
a3f07e9ed5f257db6aecd30511f03af1<::>2,bge_rewrite,bge,rewrite,0.6131471928,77,2,clapnq,91,19,True,True,0,0,ANSWERABLE,Composite,Follow-up,False
4175fcce99c56af0e02be5b8990fc16a<::>4,elser_lastturn,elser,lastturn,0.765360637,63,4,cloud,3,1,False,False,0,0,ANSWERABLE,Keyword,Clarification,False
6af5334fbd010b919d7fa174823abd12<::>7,bge_rewrite,bge,rewrite,0.6131471928,53,7,fiqa,7,1,False,False,0,0,ANSWERABLE,Explanation,Follow-up,False
dd82f0f978316e73618cf0addd369cd8<::>4,elser_lastturn,elser,lastturn,0.6992148199,32,4,clapnq,75,14,True,False,1,0,ANSWERABLE,Factoid,Follow-up,False
c1e53df98a28f19448f4af244304b89a<::>2,elser_rewrite,elser,rewrite,0.9197207891,47,2,clapnq,46,9,True,False,1,0,ANSWERABLE,Factoid,Follow-up,False
4175fcce99c56af0e02be5b8990fc16a<::>1,elser_lastturn,elser,lastturn,0.39038005,63,1,cloud,161,25,True,True,3,0,PARTIAL,How-To,N/A,True
1c0e5e78f1a16ea2eb2165b6aa31dc61<::>2,bm25_lastturn,bm25,lastturn,0.0,40,2,clapnq,18,4,True,False,0,0,PARTIAL,Explanation,Follow-up,False
79f0d0539d9ec0acbf90cb3388b30c17<::>2,elser_questions,elser,questions,0.982892082,28,2,clapnq,26,4,False,False,0,0,ANSWERABLE,Non-Question,Follow-up,False
29e3ec96a6e8916a0326ebcdab78abae<::>3,elser_questions,elser,questions,0.469278726,14,3,clapnq,34,5,False,False,0,0,ANSWERABLE,Factoid,Follow-up,False
5815bb4a99e2a0d8a986348da4c49083<::>3,bge_lastturn,bge,lastturn,0.585570075,100,3,cloud,28,5,True,False,0,0,ANSWERABLE,Explanation,Follow-up,False
adf9b1f61c73d715809bc7b37ac02724<::>3,bm25_questions,bm25,questions,0.469278726,104,3,cloud,51,9,True,False,1,0,ANSWERABLE,Explanation,Follow-up,False
258193fc88e0e73322e288aa03719260<::>5,bm25_rewrite,bm25,rewrite,0.2640681226,19,5,fiqa,103,21,True,False,1,0,PARTIAL,Summarization,Follow-up,False
4751cd8210b4adb8bce5cbc3fe913096<::>7,elser_lastturn,elser,lastturn,0.703918089,66,7,fiqa,14,3,True,False,1,0,ANSWERABLE,Comparative,Follow-up,False
af5e45e59e1254e0b7869cb477674d02<::>3,bm25_questions,bm25,questions,0.234639363,105,3,fiqa,27,4,True,True,0,0,ANSWERABLE,Explanation,Follow-up,False
4751cd8210b4adb8bce5cbc3fe913096<::>8,bm25_rewrite,bm25,rewrite,0.469278726,66,8,fiqa,34,5,False,False,0,0,ANSWERABLE,Opinion,Clarification,False
a277cf5022616282aa819ee76c9343de<::>5,bm25_lastturn,bm25,lastturn,0.0,108,5,clapnq,53,11,True,False,0,0,ANSWERABLE,Opinion,Follow-up,False
20c2cbd18c16c12c9c2bbead6aef1a21<::>3,bm25_lastturn,bm25,lastturn,1.0,87,3,cloud,25,5,True,True,1,0,ANSWERABLE,How-To,Follow-up,False
4fb9958d3e2694c9076e696f5ac9628e<::>4,elser_lastturn,elser,lastturn,0.3065735964,41,4,fiqa,19,2,False,False,0,0,PARTIAL,Non-Question,Follow-up,False
f5a8ca2f2bc12180940167fb920bb018<::>1,elser_lastturn,elser,lastturn,0.2371977128,65,1,cloud,45,8,True,True,0,0,ANSWERABLE,Comparative,N/A,True
535ebd306304982e4e49cc989ce5b10b<::>4,bm25_lastturn,bm25,lastturn,0.0,6,4,fiqa,70,14,True,True,0,0,ANSWERABLE,Explanation,Follow-up,False
1c0e5e78f1a16ea2eb2165b6aa31dc61<::>3,bm25_lastturn,bm25,lastturn,0.0,40,3,clapnq,38,8,True,True,0,0,PARTIAL,Factoid,Follow-up,False
941445ba11ba7ba2c92c5184c9d798d6<::>6,elser_lastturn,elser,lastturn,0.4414924137,39,6,govt,44,7,False,False,0,0,ANSWERABLE,Non-Question,Follow-up,False
29e3ec96a6e8916a0326ebcdab78abae<::>8,bge_rewrite,bge,rewrite,0.1510196182,14,8,clapnq,62,9,True,True,1,0,ANSWERABLE,Summarization,Follow-up,False
6a738cc02c5aa0b74319acd0e8a809dd<::>8,elser_lastturn,elser,lastturn,0.6508205186,79,8,clapnq,26,5,True,False,0,0,ANSWERABLE,Factoid,Follow-up,False
13a398b30067d58d179fa8cbc2592449<::>9,bm25_lastturn,bm25,lastturn,0.0,106,9,clapnq,29,7,False,True,1,0,ANSWERABLE,Non-Question,Follow-up,False
5b2404d71f9ff7edabddb3b1a8b329e7<::>8,elser_rewrite,elser,rewrite,0.6131471928,2,8,govt,49,8,True,False,0,0,ANSWERABLE,Summarization,Follow-up,False
5600fe1c05a1fc415416d9dee6347000<::>9,elser_rewrite,elser,rewrite,0.469278726,52,9,govt,17,3,False,False,0,0,ANSWERABLE,Non-Question,Follow-up,False
29e3ec96a6e8916a0326ebcdab78abae<::>7,bge_rewrite,bge,rewrite,0.195190025,14,7,clapnq,20,3,False,False,0,0,PARTIAL,Factoid,Follow-up,False
41a4006bfa6841516188c1695ebaf16c<::>4,bge_lastturn,bge,lastturn,0.6309297536,96,4,clapnq,29,6,True,True,0,0,ANSWERABLE,Summarization,Follow-up,False
35e6be0f2049527ae17cf77169cc4f70<::>5,elser_questions,elser,questions,0.6309297536,36,5,govt,46,8,False,False,0,0,ANSWERABLE,How-To,Follow-up,False
91204c45fc829e328f9a3643d9dd4c2b<::>4,elser_questions,elser,questions,0.6509209298,60,4,clapnq,29,5,True,False,0,0,ANSWERABLE,Factoid,Clarification,False
5b9edac124aea30a2256705d27226d7f<::>3,elser_rewrite,elser,rewrite,0.9558295932,90,3,clapnq,28,5,True,True,2,0,ANSWERABLE,Summarization,Follow-up,False
a277cf5022616282aa819ee76c9343de<::>6,bm25_lastturn,bm25,lastturn,0.0,108,6,clapnq,71,15,False,False,2,0,ANSWERABLE,Opinion,Clarification,False
2cc753bcef23767c18aedad06c4405c4<::>3,bge_rewrite,bge,rewrite,0.3868528072,92,3,govt,45,8,True,False,0,0,ANSWERABLE,Explanation,Follow-up,False
694e275f1a01ad0e8ac448ad809f7930<::>2,elser_rewrite,elser,rewrite,1.0,34,2,clapnq,150,29,True,True,4,0,ANSWERABLE,Composite,Follow-up,False
b2805ee4c478194c234e2384ffb0a6bf<::>1,bge_lastturn,bge,lastturn,0.804809975,16,1,clapnq,60,12,False,True,0,0,PARTIAL,Composite,N/A,True
124e27c3861eff7dadd17993719a0beb<::>6,elser_lastturn,elser,lastturn,1.0,93,6,govt,101,18,False,False,6,0,ANSWERABLE,Non-Question,Follow-up,False
fc3e765d7ffc28ffc7ee7ea38fd3c73a<::>6,bm25_lastturn,bm25,lastturn,0.0,102,6,govt,68,10,True,False,0,0,ANSWERABLE,Explanation,Follow-up,False
